review,rating,product,date,region
Excellent quality and fast delivery,5,Laptop,2026-01-01,North
The packaging was damaged,2,Phone,2026-01-02,South
Very satisfied with the purchase,5,Tablet,2026-01-03,West
Battery drains too quickly,2,Phone,2026-01-04,East
Amazing customer service,5,Laptop,2026-01-05,North
Delivery was delayed by a week,1,Headphones,2026-01-06,South
The product stopped working after one month,1,Laptop,2026-01-07,West
Good value for money,4,Tablet,2026-01-08,East
Screen quality is excellent,5,Monitor,2026-01-09,North
The charger was missing from the box,2,Laptop,2026-01-10,South
Customer support resolved my issue quickly,5,Phone,2026-01-11,West
The keyboard feels cheap,3,Laptop,2026-01-12,East
Excellent performance and battery life,5,Laptop,2026-01-13,North
Too expensive for the quality,2,Monitor,2026-01-14,South
Very smooth shopping experience,5,Tablet,2026-01-15,West
Product arrived scratched,1,Phone,2026-01-16,East
Highly recommended,5,Headphones,2026-01-17,North
Delivery was on time and packaging was perfect,5,Monitor,2026-01-18,West
Poor sound quality,2,Headphones,2026-01-19,South
Excellent display and performance,5,Laptop,2026-01-20,East